,count,mean,std,min,25%,50%,75%,max
Systolic blood pressure,996.0,120.12449799196787,16.25897702558771,88.0,108.0,118.0,128.0,204.0
Diastolic blood pressure,996.0,74.6004016064257,11.641416267055817,5.397605346934028e-79,68.0,74.0,82.0,120.0
Resting pulse (60-second),996.0,70.32329317269077,10.619972631407899,42.0,62.0,70.0,78.0,118.0
Fasting glucose,470.0,100.44468085106384,9.119680644509515,70.0,94.0,100.0,107.0,125.0
Total cholesterol,974.0,196.99897330595482,39.69597978217324,76.0,170.0,193.0,222.0,366.0
HDL cholesterol,974.0,55.90554414784394,16.622255974784704,11.0,44.0,53.0,66.0,147.0
Triglycerides,459.0,107.67320261437908,140.2707844502502,10.0,56.0,81.0,124.5,2684.0
LDL cholesterol,454.0,117.9251101321586,36.04429007648905,25.0,92.0,115.0,141.0,233.0
Body Mass Index (BMI),996.0,26.374899598393576,3.2504336765094552,18.7,24.0,26.6,29.0,32.0
Waist circumference,981.0,92.04852191641181,10.129765714234683,66.5,84.7,92.4,99.2,119.7
High-sensitivity CRP,970.0,1.9671443298969071,1.8814430790334153,0.11,0.68,1.2149999999999999,2.5925000000000002,9.79
White blood cell count,995.0,6.716683417085427,1.812010859627733,2.3,5.5,6.5,7.9,17.0
Lymphocyte count,993.0,2.1374622356495467,0.6312321578713207,0.5,1.7,2.1,2.5,4.8
Neutrophil count,993.0,3.8235649546827792,1.4219791764603014,0.9,2.8,3.6,4.6,14.1
Hemoglobin,995.0,14.014371859296482,1.5399850016294059,6.4,13.2,14.1,15.0,18.1
Hematocrit,995.0,41.571457286432164,4.12321412922825,23.1,39.2,41.8,44.2,53.1
Red blood cell count,995.0,4.745015075376884,0.4899130161099961,3.22,4.39,4.71,5.06,7.04
Serum albumin,970.0,4.129484536082475,0.3052629891367086,2.5,3.9,4.2,4.3,5.0
Serum creatinine,970.0,0.8381443298969072,0.24159228376039643,0.25,0.68,0.8,0.96,3.85
Platelet count,995.0,241.81306532663316,57.59610313841676,57.0,205.0,235.0,272.0,535.0
